sensor1,sensor2,sensor3,sensor4,labels
499,474,510,474,Lhemiplegia
506,469,504,485,Lhemiplegia
507,465,498,502,Lhemiplegia
508,475,491,513,Lhemiplegia
508,510,488,515,Lhemiplegia
507,519,484,515,Lhemiplegia
504,513,482,516,Lhemiplegia
503,493,480,516,Lhemiplegia
501,476,480,517,Lhemiplegia
500,465,478,516,Lhemiplegia
500,458,478,518,Lhemiplegia
500,452,478,518,Lhemiplegia
498,447,510,516,Lhemiplegia
499,454,515,514,Lhemiplegia
498,458,515,504,Lhemiplegia
498,451,510,495,Lhemiplegia
497,447,506,486,Lhemiplegia
498,461,503,481,Lhemiplegia
498,496,501,480,Lhemiplegia
504,508,493,492,Lhemiplegia
501,512,486,509,Lhemiplegia
499,515,482,512,Lhemiplegia
498,516,479,513,Lhemiplegia
498,518,477,514,Lhemiplegia
498,512,476,514,Lhemiplegia
497,496,475,515,Lhemiplegia
497,486,474,515,Lhemiplegia
496,478,474,516,Lhemiplegia
497,471,473,517,Lhemiplegia
497,469,514,516,Lhemiplegia
496,461,521,513,Lhemiplegia
496,456,522,503,Lhemiplegia
496,452,520,493,Lhemiplegia
495,449,519,486,Lhemiplegia
496,448,517,480,Lhemiplegia
502,444,515,477,Lhemiplegia
508,448,512,488,Lhemiplegia
508,464,501,502,Lhemiplegia
509,490,492,506,Lhemiplegia
509,503,486,507,Lhemiplegia
510,498,482,507,Lhemiplegia
509,479,479,507,Lhemiplegia
508,465,477,507,Lhemiplegia
506,457,475,507,Lhemiplegia
504,452,474,507,Lhemiplegia
503,447,473,507,Lhemiplegia
501,444,473,506,Lhemiplegia
500,442,516,506,Lhemiplegia
499,441,519,506,Lhemiplegia
498,439,520,494,Lhemiplegia
498,436,518,486,Lhemiplegia
497,435,515,480,Lhemiplegia
497,437,510,476,Lhemiplegia
500,451,506,481,Lhemiplegia
508,473,496,496,Lhemiplegia
510,494,488,498,Lhemiplegia
512,501,483,502,Lhemiplegia
