,sensor2,sensor3,sensor4,labels
512,513,492,454,normal
516,504,485,481,normal
517,495,480,487,normal
518,489,476,490,normal
517,483,474,494,normal
517,479,472,503,normal
511,475,470,513,normal
505,472,500,518,normal
502,494,517,514,normal
499,504,519,494,normal
497,508,519,481,normal
496,509,518,472,normal
495,511,519,466,normal
494,513,516,462,normal
494,516,505,458,normal
508,516,493,456,normal
512,506,485,456,normal
514,498,480,463,normal
514,490,476,480,normal
514,485,474,499,normal
510,480,472,512,normal
504,476,470,519,normal
500,472,502,520,normal
498,490,518,514,normal
497,503,520,496,normal
496,508,520,482,normal
494,510,521,473,normal
493,511,519,466,normal
493,513,518,462,normal
493,515,507,458,normal
507,516,494,456,normal
513,508,486,456,normal
516,499,480,454,normal
516,492,477,466,normal
518,487,474,475,normal
517,481,472,483,normal
518,477,470,494,normal
512,473,486,503,normal
505,472,518,510,normal
503,498,521,494,normal
500,503,522,480,normal
498,507,522,470,normal
496,508,521,463,normal
495,511,521,458,normal
494,512,520,455,normal
504,515,510,453,normal
512,515,498,453,normal
515,504,488,457,normal
517,496,482,470,normal
517,489,479,488,normal
517,484,476,494,normal
516,479,473,499,normal
512,474,471,504,normal
506,472,489,507,normal
502,484,511,508,normal
500,499,517,495,normal
498,503,518,483,normal
497,506,519,473,normal
495,507,519,465,normal
495,510,519,460,normal
494,513,518,456,normal
496,515,510,454,normal
511,516,499,452,normal
516,505,489,474,normal
517,497,482,481,normal
517,491,478,483,normal
518,485,475,483,normal
519,480,473,494,normal
513,476,471,505,normal
507,473,518,510,normal
504,496,521,493,normal
501,503,522,478,normal
499,507,521,469,normal
497,510,521,462,normal
496,512,517,458,normal
496,515,503,455,normal
510,515,492,453,normal
516,504,485,456,normal
518,496,479,469,normal
517,489,476,487,normal
516,484,474,503,normal
509,478,471,512,normal
504,474,469,516,normal
501,471,503,516,normal
499,490,518,503,normal
498,501,519,486,normal
496,508,519,476,normal
496,510,518,468,normal
494,512,516,462,normal
493,514,508,458,normal
498,516,495,455,normal
516,510,486,453,normal
518,502,480,461,normal
519,495,477,488,normal
517,488,473,501,normal
510,483,472,509,normal
504,478,469,515,normal
