sensor1,sensor2,sensor3,sensor4,labels
487,462,472,518,Parkinson
488,460,472,517,Parkinson
488,460,488,516,Parkinson
489,463,517,516,Parkinson
486,476,520,514,Parkinson
486,486,521,514,Parkinson
486,492,521,514,Parkinson
486,493,520,514,Parkinson
486,492,519,513,Parkinson
487,492,520,512,Parkinson
487,493,520,506,Parkinson
487,492,520,499,Parkinson
488,491,518,494,Parkinson
488,492,519,490,Parkinson
488,492,518,488,Parkinson
489,491,518,485,Parkinson
496,490,517,484,Parkinson
499,489,509,493,Parkinson
499,487,499,507,Parkinson
499,480,491,511,Parkinson
501,472,486,511,Parkinson
500,468,483,510,Parkinson
500,464,480,510,Parkinson
499,461,477,511,Parkinson
496,458,475,513,Parkinson
495,456,474,513,Parkinson
493,454,476,514,Parkinson
494,453,511,513,Parkinson
493,481,519,512,Parkinson
493,489,520,503,Parkinson
492,489,521,495,Parkinson
492,489,519,489,Parkinson
492,489,519,486,Parkinson
492,490,518,483,Parkinson
491,489,519,481,Parkinson
491,488,518,480,Parkinson
497,487,516,481,Parkinson
504,486,505,488,Parkinson
505,484,495,492,Parkinson
506,475,488,503,Parkinson
507,468,484,511,Parkinson
507,463,480,515,Parkinson
507,460,478,516,Parkinson
508,457,476,517,Parkinson
508,454,474,517,Parkinson
507,452,473,517,Parkinson
508,450,472,517,Parkinson
508,449,471,517,Parkinson
507,447,470,517,Parkinson
506,446,470,516,Parkinson
505,445,469,516,Parkinson
503,445,470,515,Parkinson
502,449,506,515,Parkinson
500,479,515,515,Parkinson
499,485,521,514,Parkinson
498,490,521,504,Parkinson
498,490,520,496,Parkinson
497,489,520,490,Parkinson
499,489,519,494,Parkinson
505,489,512,499,Parkinson
507,487,500,504,Parkinson
510,485,492,504,Parkinson
512,482,486,505,Parkinson
513,477,481,504,Parkinson
514,472,478,504,Parkinson
515,469,475,504,Parkinson
516,465,474,503,Parkinson
517,462,473,498,Parkinson
518,459,472,491,Parkinson
519,456,470,486,Parkinson
520,453,469,483,Parkinson
520,450,468,480,Parkinson
520,448,467,478,Parkinson
521,447,467,477,Parkinson
521,445,467,478,Parkinson
521,444,466,485,Parkinson
520,443,465,490,Parkinson
521,442,467,494,Parkinson
520,442,505,494,Parkinson
520,457,513,493,Parkinson
518,473,518,491,Parkinson
514,476,521,490,Parkinson
511,478,522,491,Parkinson
509,479,522,490,Parkinson
507,481,521,482,Parkinson
506,483,520,478,Parkinson
505,487,511,477,Parkinson
506,489,502,475,Parkinson
512,487,493,487,Parkinson
515,485,487,494,Parkinson
516,475,483,499,Parkinson
517,467,480,504,Parkinson
518,461,477,507,Parkinson
517,457,475,513,Parkinson
516,454,473,517,Parkinson
512,451,472,518,Parkinson
510,448,471,520,Parkinson
508,446,469,521,Parkinson
505,446,468,519,Parkinson
505,454,492,519,Parkinson
503,473,514,518,Parkinson
503,482,519,510,Parkinson
502,483,520,500,Parkinson
501,481,518,492,Parkinson
501,481,515,486,Parkinson
501,480,513,482,Parkinson
514,480,504,498,Parkinson
515,478,494,514,Parkinson
514,468,487,518,Parkinson
513,463,481,519,Parkinson
511,457,478,520,Parkinson
508,454,474,521,Parkinson
506,451,472,522,Parkinson
504,448,471,522,Parkinson
503,446,469,523,Parkinson
502,446,468,523,Parkinson
501,460,496,523,Parkinson
500,479,520,521,Parkinson
500,479,520,510,Parkinson
499,477,519,500,Parkinson
499,476,519,492,Parkinson
498,476,519,487,Parkinson
506,475,517,485,Parkinson
515,476,509,504,Parkinson
517,472,499,510,Parkinson
516,464,490,509,Parkinson
515,459,484,508,Parkinson
514,455,480,509,Parkinson
512,451,476,511,Parkinson
510,447,474,513,Parkinson
508,445,472,514,Parkinson
506,444,470,514,Parkinson
504,443,468,515,Parkinson
503,442,468,516,Parkinson
502,476,507,516,Parkinson
500,478,518,515,Parkinson
500,477,519,505,Parkinson
499,476,520,495,Parkinson
499,476,520,488,Parkinson
498,475,520,484,Parkinson
500,477,519,482,Parkinson
510,479,512,513,Parkinson
510,477,500,518,Parkinson
507,467,492,517,Parkinson
507,461,486,516,Parkinson
506,457,481,515,Parkinson
506,453,477,514,Parkinson
504,451,475,513,Parkinson
502,448,473,514,Parkinson
500,446,471,514,Parkinson
499,444,469,514,Parkinson
498,441,468,513,Parkinson
498,442,482,514,Parkinson
498,471,504,514,Parkinson
496,476,517,514,Parkinson
497,475,518,510,Parkinson
497,476,520,498,Parkinson
496,475,519,491,Parkinson
495,476,518,486,Parkinson
495,479,518,483,Parkinson
507,483,509,502,Parkinson
514,483,501,514,Parkinson
513,471,492,515,Parkinson
512,463,486,514,Parkinson
509,459,481,513,Parkinson
507,454,477,515,Parkinson
505,451,474,515,Parkinson
503,449,472,517,Parkinson
501,446,470,517,Parkinson
499,444,469,518,Parkinson
499,443,467,518,Parkinson
497,441,466,519,Parkinson
497,460,487,518,Parkinson
496,471,505,518,Parkinson
496,483,511,514,Parkinson
495,486,514,503,Parkinson
495,486,516,494,Parkinson
494,486,515,487,Parkinson
495,485,512,483,Parkinson
