sensor1,sensor2,sensor3,sensor4,labels
508,488,502,487,Rhemiplegia
511,486,498,498,Rhemiplegia
513,482,495,514,Rhemiplegia
514,479,493,526,Rhemiplegia
514,477,492,534,Rhemiplegia
514,475,490,538,Rhemiplegia
513,474,488,540,Rhemiplegia
512,472,487,541,Rhemiplegia
508,471,513,541,Rhemiplegia
505,480,522,542,Rhemiplegia
503,487,524,530,Rhemiplegia
501,491,524,518,Rhemiplegia
500,494,523,509,Rhemiplegia
499,495,520,504,Rhemiplegia
499,497,515,499,Rhemiplegia
498,499,509,496,Rhemiplegia
498,501,500,494,Rhemiplegia
503,501,495,491,Rhemiplegia
509,502,491,490,Rhemiplegia
511,494,489,497,Rhemiplegia
513,488,487,503,Rhemiplegia
513,483,485,514,Rhemiplegia
511,480,484,524,Rhemiplegia
507,476,483,531,Rhemiplegia
504,474,481,534,Rhemiplegia
502,473,481,536,Rhemiplegia
500,471,513,536,Rhemiplegia
499,478,524,526,Rhemiplegia
499,487,525,513,Rhemiplegia
498,492,525,506,Rhemiplegia
497,496,524,500,Rhemiplegia
497,499,523,497,Rhemiplegia
497,501,518,494,Rhemiplegia
497,505,508,491,Rhemiplegia
510,506,499,490,Rhemiplegia
514,496,492,489,Rhemiplegia
516,490,488,497,Rhemiplegia
515,485,484,509,Rhemiplegia
513,480,482,517,Rhemiplegia
508,476,480,525,Rhemiplegia
505,475,479,531,Rhemiplegia
503,472,492,532,Rhemiplegia
502,478,523,526,Rhemiplegia
501,493,525,512,Rhemiplegia
499,499,524,504,Rhemiplegia
499,502,520,499,Rhemiplegia
499,503,508,496,Rhemiplegia
498,506,498,493,Rhemiplegia
498,508,491,490,Rhemiplegia
510,503,486,490,Rhemiplegia
511,495,483,519,Rhemiplegia
508,489,480,527,Rhemiplegia
505,484,479,530,Rhemiplegia
502,479,478,531,Rhemiplegia
499,477,477,533,Rhemiplegia
499,474,483,533,Rhemiplegia
498,493,500,534,Rhemiplegia
497,500,511,529,Rhemiplegia
497,502,515,517,Rhemiplegia
496,504,516,508,Rhemiplegia
496,505,515,503,Rhemiplegia
495,506,512,499,Rhemiplegia
495,508,502,495,Rhemiplegia
496,508,494,492,Rhemiplegia
495,508,487,491,Rhemiplegia
497,507,483,513,Rhemiplegia
502,501,480,529,Rhemiplegia
499,495,479,532,Rhemiplegia
497,489,477,533,Rhemiplegia
496,486,476,533,Rhemiplegia
496,481,475,535,Rhemiplegia
496,478,474,535,Rhemiplegia
496,476,476,534,Rhemiplegia
495,493,494,535,Rhemiplegia
495,501,512,527,Rhemiplegia
495,505,506,518,Rhemiplegia
494,506,495,510,Rhemiplegia
494,506,487,516,Rhemiplegia
494,504,482,530,Rhemiplegia
494,495,479,532,Rhemiplegia
494,488,477,533,Rhemiplegia
494,483,475,533,Rhemiplegia
493,479,476,533,Rhemiplegia
493,496,494,532,Rhemiplegia
493,502,511,531,Rhemiplegia
492,505,513,528,Rhemiplegia
493,506,503,521,Rhemiplegia
492,507,492,526,Rhemiplegia
495,505,486,529,Rhemiplegia
492,496,481,531,Rhemiplegia
492,498,497,531,Rhemiplegia
492,503,495,529,Rhemiplegia
492,505,489,526,Rhemiplegia
490,506,483,527,Rhemiplegia
491,503,479,529,Rhemiplegia
491,493,476,530,Rhemiplegia
491,488,475,531,Rhemiplegia
491,484,475,532,Rhemiplegia
490,480,473,532,Rhemiplegia
490,494,493,532,Rhemiplegia
490,502,518,524,Rhemiplegia
490,504,520,516,Rhemiplegia
490,505,513,516,Rhemiplegia
499,506,500,525,Rhemiplegia
501,505,491,529,Rhemiplegia
496,503,485,531,Rhemiplegia
495,495,481,531,Rhemiplegia
493,489,479,532,Rhemiplegia
493,484,476,532,Rhemiplegia
492,499,508,531,Rhemiplegia
491,505,520,522,Rhemiplegia
