sensor1,sensor2,sensor3,sensor4,labels
512,513,492,454,walk
516,504,485,481,walk
517,495,480,487,walk
518,489,476,490,walk
517,483,474,494,walk
517,479,472,503,walk
511,475,470,513,walk
505,472,500,518,walk
502,494,517,514,walk
499,504,519,494,walk
497,508,519,481,walk
496,509,518,472,walk
495,511,519,466,walk
494,513,516,462,walk
494,516,505,458,walk
508,516,493,456,walk
512,506,485,456,walk
514,498,480,463,walk
514,490,476,480,walk
514,485,474,499,walk
510,480,472,512,walk
504,476,470,519,walk
500,472,502,520,walk
498,490,518,514,walk
497,503,520,496,walk
496,508,520,482,walk
494,510,521,473,walk
493,511,519,466,walk
493,513,518,462,walk
493,515,507,458,walk
507,516,494,456,walk
513,508,486,456,walk
516,499,480,454,walk
516,492,477,466,walk
518,487,474,475,walk
517,481,472,483,walk
518,477,470,494,walk
512,473,486,503,walk
505,472,518,510,walk
503,498,521,494,walk
500,503,522,480,walk
498,507,522,470,walk
496,508,521,463,walk
495,511,521,458,walk
494,512,520,455,walk
504,515,510,453,walk
512,515,498,453,walk
515,504,488,457,walk
517,496,482,470,walk
517,489,479,488,walk
517,484,476,494,walk
516,479,473,499,walk
512,474,471,504,walk
506,472,489,507,walk
502,484,511,508,walk
500,499,517,495,walk
498,503,518,483,walk
497,506,519,473,walk
495,507,519,465,walk
495,510,519,460,walk
494,513,518,456,walk
496,515,510,454,walk
511,516,499,452,walk
516,505,489,474,walk
517,497,482,481,walk
517,491,478,483,walk
518,485,475,483,walk
519,480,473,494,walk
513,476,471,505,walk
507,473,518,510,walk
504,496,521,493,walk
501,503,522,478,walk
499,507,521,469,walk
497,510,521,462,walk
496,512,517,458,walk
496,515,503,455,walk
510,515,492,453,walk
516,504,485,456,walk
518,496,479,469,walk
517,489,476,487,walk
516,484,474,503,walk
509,478,471,512,walk
504,474,469,516,walk
501,471,503,516,walk
499,490,518,503,walk
498,501,519,486,walk
496,508,519,476,walk
496,510,518,468,walk
494,512,516,462,walk
493,514,508,458,walk
498,516,495,455,walk
516,510,486,453,walk
518,502,480,461,walk
519,495,477,488,walk
517,488,473,501,walk
510,483,472,509,walk
504,478,469,515,walk
501,473,470,516,walk
499,472,518,505,walk
498,503,519,493,walk
496,510,518,480,walk
495,511,513,471,walk
495,513,502,464,walk
493,514,490,461,walk
507,514,482,457,walk
518,506,478,456,walk
518,497,474,458,walk
519,490,472,469,walk
518,484,469,485,walk
518,479,467,503,walk
511,475,466,513,walk
506,472,497,519,walk
503,482,520,507,walk
500,500,520,492,walk
498,507,519,480,walk
497,511,518,471,walk
496,512,515,464,walk
495,514,505,460,walk
