sensor1,sensor2,sensor3,sensor4,labels
504,427,506,483,downstairs
504,424,513,483,downstairs
503,421,516,483,downstairs
503,418,516,484,downstairs
503,416,516,484,downstairs
502,414,515,484,downstairs
502,412,514,485,downstairs
502,410,509,484,downstairs
514,409,497,485,downstairs
521,406,485,486,downstairs
521,405,477,485,downstairs
520,404,469,485,downstairs
517,403,464,485,downstairs
513,402,460,485,downstairs
509,401,457,486,downstairs
507,399,455,486,downstairs
505,400,497,486,downstairs
504,399,512,486,downstairs
503,398,513,487,downstairs
503,397,513,487,downstairs
502,396,513,487,downstairs
502,396,512,487,downstairs
501,395,511,488,downstairs
508,396,500,488,downstairs
521,395,488,488,downstairs
521,394,478,488,downstairs
521,393,469,488,downstairs
519,393,464,488,downstairs
517,393,459,488,downstairs
511,392,457,488,downstairs
509,392,454,488,downstairs
507,392,505,488,downstairs
505,392,513,488,downstairs
504,391,513,489,downstairs
503,392,513,489,downstairs
503,391,511,490,downstairs
502,391,507,490,downstairs
502,391,497,490,downstairs
515,391,484,491,downstairs
520,391,474,491,downstairs
520,390,467,489,downstairs
519,390,462,489,downstairs
518,390,457,489,downstairs
513,390,454,489,downstairs
509,390,452,491,downstairs
506,389,451,490,downstairs
504,389,509,489,downstairs
504,391,511,489,downstairs
503,390,509,491,downstairs
502,389,505,491,downstairs
501,390,501,491,downstairs
500,390,504,491,downstairs
500,391,502,491,downstairs
499,391,495,491,downstairs
517,391,481,493,downstairs
519,390,472,492,downstairs
519,390,465,491,downstairs
518,389,459,490,downstairs
518,389,456,490,downstairs
516,389,453,491,downstairs
511,389,450,490,downstairs
507,389,449,490,downstairs
505,390,507,491,downstairs
504,391,512,491,downstairs
502,389,510,492,downstairs
501,390,508,491,downstairs
501,390,498,491,downstairs
500,390,488,491,downstairs
499,391,477,492,downstairs
517,391,467,495,downstairs
521,388,463,492,downstairs
520,393,458,490,downstairs
519,391,454,491,downstairs
519,391,451,492,downstairs
518,391,449,491,downstairs
515,391,448,490,downstairs
510,392,481,490,downstairs
507,392,512,492,downstairs
506,392,513,492,downstairs
505,392,512,492,downstairs
503,392,511,491,downstairs
502,392,510,492,downstairs
501,393,506,492,downstairs
500,393,495,492,downstairs
519,393,484,493,downstairs
518,393,475,493,downstairs
518,393,467,492,downstairs
515,393,460,492,downstairs
513,394,457,492,downstairs
508,394,453,492,downstairs
505,394,451,492,downstairs
504,394,452,490,downstairs
502,395,510,492,downstairs
501,396,511,492,downstairs
500,396,511,493,downstairs
499,395,509,493,downstairs
499,396,507,493,downstairs
498,396,502,493,downstairs
497,396,492,493,downstairs
505,397,481,493,downstairs
518,395,471,496,downstairs
518,396,465,507,downstairs
516,396,459,511,downstairs
514,396,455,528,downstairs
510,396,452,535,downstairs
506,397,449,537,downstairs
503,401,488,536,downstairs
502,400,505,527,downstairs
500,397,504,519,downstairs
500,400,502,511,downstairs
498,479,500,504,downstairs
499,515,489,500,downstairs
498,515,476,496,downstairs
510,512,466,495,downstairs
515,503,460,493,downstairs
515,487,455,489,downstairs
515,476,452,488,downstairs
515,467,450,491,downstairs
515,458,448,503,downstairs
511,452,447,519,downstairs
506,448,478,525,downstairs
504,446,501,527,downstairs
502,441,504,514,downstairs
501,436,503,503,downstairs
500,432,500,496,downstairs
499,426,496,491,downstairs
498,431,491,488,downstairs
498,471,477,485,downstairs
508,508,468,485,downstairs
515,491,462,485,downstairs
515,476,456,482,downstairs
515,461,451,483,downstairs
515,452,449,486,downstairs
515,445,448,501,downstairs
514,439,446,512,downstairs
508,436,503,523,downstairs
506,435,507,512,downstairs
504,429,504,502,downstairs
502,425,503,493,downstairs
500,431,503,488,downstairs
500,455,501,484,downstairs
503,492,490,482,downstairs
513,503,479,483,downstairs
514,489,468,481,downstairs
515,467,461,479,downstairs
515,454,456,479,downstairs
515,445,453,490,downstairs
516,438,450,506,downstairs
515,433,448,509,downstairs
514,430,485,510,downstairs
507,427,505,517,downstairs
505,424,511,507,downstairs
504,423,507,499,downstairs
502,421,505,492,downstairs
501,419,503,487,downstairs
500,418,497,483,downstairs
499,416,492,482,downstairs
500,416,479,482,downstairs
519,414,470,479,downstairs
518,412,463,478,downstairs
511,411,457,478,downstairs
506,410,453,477,downstairs
504,409,451,478,downstairs
502,408,448,478,downstairs
500,408,466,478,downstairs
499,406,504,478,downstairs
498,406,505,479,downstairs
498,405,503,479,downstairs
497,404,500,479,downstairs
497,403,500,480,downstairs
497,402,500,480,downstairs
496,401,490,480,downstairs
518,402,478,483,downstairs
519,400,469,481,downstairs
518,400,462,481,downstairs
518,400,456,481,downstairs
517,399,452,482,downstairs
517,399,450,481,downstairs
517,398,447,482,downstairs
513,397,446,482,downstairs
508,397,494,483,downstairs
506,398,512,483,downstairs
504,396,510,483,downstairs
502,397,507,483,downstairs
501,396,504,484,downstairs
500,396,495,484,downstairs
499,396,483,484,downstairs
518,394,472,486,downstairs
520,393,465,486,downstairs
518,395,458,485,downstairs
515,394,454,485,downstairs
511,394,451,485,downstairs
507,394,449,485,downstairs
505,394,447,485,downstairs
502,394,501,485,downstairs
501,395,508,486,downstairs
500,394,507,485,downstairs
499,394,508,487,downstairs
497,394,508,487,downstairs
497,394,507,486,downstairs
496,394,506,487,downstairs
495,394,505,486,downstairs
495,394,500,487,downstairs
495,393,490,487,downstairs
516,394,479,488,downstairs
515,393,470,487,downstairs
516,393,463,488,downstairs
515,394,458,487,downstairs
511,394,454,487,downstairs
507,394,451,487,downstairs
505,394,449,487,downstairs
501,395,506,487,downstairs
500,395,508,487,downstairs
499,393,509,488,downstairs
497,394,508,488,downstairs
497,394,506,488,downstairs
496,395,506,488,downstairs
495,395,501,489,downstairs
515,395,491,490,downstairs
518,393,481,489,downstairs
517,394,472,488,downstairs
517,395,464,488,downstairs
516,395,459,488,downstairs
513,395,454,489,downstairs
509,395,451,488,downstairs
505,395,454,490,downstairs
503,396,505,489,downstairs
501,395,505,490,downstairs
499,396,504,490,downstairs
499,395,504,489,downstairs
497,396,503,490,downstairs
497,396,496,490,downstairs
516,396,484,492,downstairs
519,396,474,490,downstairs
518,396,465,490,downstairs
517,396,459,490,downstairs
517,397,455,489,downstairs
516,397,451,490,downstairs
514,396,448,490,downstairs
509,397,485,489,downstairs
