sensor1,sensor2,sensor3,sensor4,labels
477,481,476,481,jump
476,476,473,485,jump
495,500,495,503,jump
485,504,485,510,jump
480,506,476,515,jump
480,499,473,504,jump
479,489,471,491,jump
478,480,469,480,jump
477,475,469,497,jump
488,503,495,513,jump
480,507,488,517,jump
478,508,480,519,jump
478,500,474,507,jump
477,490,470,492,jump
476,481,469,481,jump
477,480,467,500,jump
482,505,490,510,jump
477,508,480,516,jump
477,509,472,517,jump
476,499,470,501,jump
476,488,467,488,jump
476,480,467,479,jump
475,492,465,502,jump
485,508,483,511,jump
479,509,471,517,jump
478,508,468,514,jump
477,498,466,497,jump
476,488,465,485,jump
476,481,465,477,jump
477,504,480,500,jump
488,509,496,509,jump
482,510,489,512,jump
480,505,480,503,jump
478,495,474,490,jump
477,486,471,479,jump
477,486,467,496,jump
478,506,494,508,jump
477,509,489,515,jump
476,510,479,515,jump
476,500,473,500,jump
476,494,469,485,jump
475,485,466,478,jump
476,500,464,507,jump
480,505,485,514,jump
477,507,477,515,jump
477,502,471,507,jump
476,492,467,493,jump
475,482,464,482,jump
475,479,463,489,jump
490,507,494,505,jump
481,510,495,511,jump
478,511,484,512,jump
477,503,476,499,jump
476,492,471,485,jump
476,483,468,476,jump
476,503,466,501,jump
491,509,495,510,jump
484,510,483,513,jump
482,505,475,504,jump
480,496,470,491,jump
479,486,467,481,jump
478,481,465,497,jump
488,507,488,510,jump
481,510,487,516,jump
479,509,476,516,jump
478,500,470,501,jump
477,489,466,487,jump
476,481,463,479,jump
480,508,464,504,jump
482,511,493,511,jump
479,511,481,512,jump
477,505,473,500,jump
477,495,468,486,jump
476,485,464,477,jump
476,503,470,501,jump
480,510,501,511,jump
478,512,489,514,jump
477,505,481,504,jump
476,496,475,490,jump
476,487,471,479,jump
476,496,467,501,jump
486,509,482,510,jump
478,511,480,512,jump
477,511,470,513,jump
477,501,466,499,jump
476,490,464,485,jump
476,484,461,481,jump
493,506,491,502,jump
484,509,494,508,jump
480,510,483,511,jump
479,503,476,500,jump
478,491,470,486,jump
477,483,467,477,jump
477,502,464,503,jump
483,510,494,511,jump
478,512,480,516,jump
477,505,474,506,jump
477,495,468,493,jump
477,485,465,481,jump
476,499,463,499,jump
484,510,494,508,jump
480,512,483,512,jump
478,509,473,508,jump
477,500,469,493,jump
476,489,464,481,jump
476,487,462,498,jump
487,508,495,508,jump
479,511,480,514,jump
478,509,472,514,jump
476,499,467,497,jump
476,489,463,484,jump
476,483,460,488,jump
489,508,482,505,jump
480,512,481,514,jump
478,512,472,516,jump
477,501,466,501,jump
477,490,463,486,jump
476,481,461,478,jump
476,506,462,505,jump
476,513,473,516,jump
476,513,464,517,jump
476,506,462,505,jump
476,495,460,490,jump
475,486,459,479,jump
475,502,458,504,jump
475,511,458,510,jump
474,513,458,514,jump
475,506,458,505,jump
474,497,458,493,jump
474,487,458,481,jump
474,490,457,500,jump
488,509,473,506,jump
480,511,465,510,jump
479,511,461,510,jump
478,500,459,495,jump
477,490,458,483,jump
476,482,457,487,jump
488,509,458,505,jump
479,511,468,514,jump
478,510,463,514,jump
478,499,460,498,jump
476,489,459,485,jump
476,483,457,484,jump
484,509,459,505,jump
478,513,458,511,jump
477,514,457,512,jump
476,503,458,499,jump
476,493,457,485,jump
476,485,457,477,jump
475,508,457,511,jump
475,515,457,520,jump
475,512,457,514,jump
475,500,458,498,jump
475,491,457,484,jump
475,484,457,480,jump
475,507,457,511,jump
474,510,457,518,jump
475,506,457,518,jump
475,495,458,502,jump
474,486,458,488,jump
474,492,457,501,jump
498,508,505,508,jump
498,510,505,510,jump
490,511,495,510,jump
486,505,485,500,jump
485,493,480,487,jump
483,485,476,482,jump
515,496,519,492,jump
518,504,520,503,jump
506,507,512,507,jump
500,499,499,494,jump
495,488,491,484,jump
494,504,486,481,jump
513,510,504,499,jump
512,511,505,504,jump
502,511,493,505,jump
498,500,485,490,jump
495,491,480,479,jump
510,493,477,473,jump
516,495,503,505,jump
512,497,498,510,jump
504,494,487,511,jump
499,486,480,494,jump
495,479,477,482,jump
492,491,476,495,jump
492,499,503,504,jump
490,501,500,509,jump
488,498,487,506,jump
487,487,480,491,jump
485,480,475,481,jump
491,507,494,498,jump
507,510,511,505,jump
506,511,511,507,jump
499,510,497,507,jump
494,500,487,493,jump
491,491,480,481,jump
489,497,477,498,jump
489,503,487,508,jump
486,503,476,512,jump
485,497,473,504,jump
484,489,471,490,jump
483,483,469,480,jump
491,496,469,498,jump
495,502,493,505,jump
491,504,490,509,jump
487,501,479,507,jump
486,491,473,492,jump
484,482,470,481,jump
483,500,492,496,jump
498,506,499,503,jump
494,507,499,507,jump
490,507,486,508,jump
487,498,479,494,jump
485,487,474,483,jump
483,498,471,500,jump
483,508,469,513,jump
481,509,467,516,jump
481,505,465,507,jump
481,495,464,494,jump
480,487,464,481,jump
480,497,464,500,jump
482,504,476,507,jump
481,506,479,510,jump
479,506,468,511,jump
478,498,465,499,jump
478,489,462,486,jump
478,486,461,489,jump
493,502,500,501,jump
485,505,499,507,jump
482,506,486,507,jump
480,497,479,497,jump
479,487,473,484,jump
478,480,469,478,jump
490,495,469,503,jump
484,499,476,514,jump
481,499,468,515,jump
480,491,465,502,jump
479,481,463,487,jump
478,477,460,480,jump
493,497,491,502,jump
486,504,490,508,jump
482,504,479,510,jump
481,495,472,498,jump
479,484,467,484,jump
479,477,464,477,jump
478,503,463,501,jump
477,508,479,510,jump
476,509,468,514,jump
477,502,464,500,jump
476,494,462,486,jump
476,484,460,477,jump
476,497,460,502,jump
483,506,459,508,jump
480,506,458,511,jump
479,499,458,502,jump
477,490,458,490,jump
477,481,457,479,jump
477,495,460,497,jump
493,503,491,505,jump
486,507,481,510,jump
484,499,474,501,jump
482,491,468,490,jump
480,482,464,479,jump
480,497,462,497,jump
491,505,499,505,jump
485,508,490,511,jump
483,502,481,503,jump
482,493,475,491,jump
481,482,470,479,jump
479,496,469,499,jump
493,503,495,506,jump
486,505,483,512,jump
484,501,475,508,jump
482,492,470,493,jump
480,484,467,480,jump
480,496,466,501,jump
482,504,474,514,jump
479,506,466,519,jump
479,499,463,508,jump
478,491,462,494,jump
477,482,460,482,jump
477,495,460,501,jump
489,504,483,507,jump
483,507,473,509,jump
481,504,467,508,jump
480,494,462,493,jump
479,484,461,481,jump
478,491,459,497,jump
494,506,481,503,jump
485,508,472,507,jump
482,507,466,506,jump
480,496,462,491,jump
480,486,460,480,jump
479,491,460,492,jump
495,504,494,503,jump
486,507,488,510,jump
483,506,476,510,jump
481,496,471,494,jump
480,485,467,481,jump
479,491,464,495,jump
488,506,499,503,jump
483,509,497,508,jump
480,508,484,509,jump
479,497,478,493,jump
478,487,475,481,jump
478,486,473,496,jump
488,506,469,505,jump
481,508,471,514,jump
479,504,466,505,jump
478,495,464,492,jump
477,482,463,480,jump
477,492,462,500,jump
480,507,461,512,jump
477,509,459,520,jump
477,505,459,510,jump
477,494,459,495,jump
476,484,458,483,jump
475,497,460,501,jump
486,506,492,508,jump
480,508,482,512,jump
478,504,474,505,jump
477,496,469,492,jump
477,485,465,480,jump
477,499,463,496,jump
487,507,480,505,jump
481,509,475,510,jump
479,505,468,503,jump
478,495,464,489,jump
478,485,461,478,jump
477,499,459,491,jump
492,506,499,506,jump
486,507,495,510,jump
482,506,484,506,jump
481,497,476,492,jump
480,488,471,480,jump
479,495,467,497,jump
493,504,501,505,jump
485,507,491,511,jump
483,504,481,509,jump
481,494,475,492,jump
480,484,471,480,jump
479,494,467,499,jump
485,504,489,510,jump
481,506,477,515,jump
479,504,471,508,jump
478,494,466,494,jump
478,483,464,481,jump
477,490,462,495,jump
490,504,494,506,jump
482,508,485,512,jump
480,505,475,511,jump
480,496,469,494,jump
478,486,466,482,jump
478,481,462,490,jump
486,502,465,503,jump
479,505,462,509,jump
478,505,458,513,jump
478,497,459,499,jump
477,486,458,486,jump
476,479,458,479,jump
498,501,488,501,jump
487,505,493,507,jump
482,507,481,510,jump
481,498,474,497,jump
480,488,469,484,jump
479,478,465,476,jump
478,502,464,504,jump
478,508,472,516,jump
478,507,464,517,jump
477,499,461,502,jump
477,487,460,487,jump
476,481,458,478,jump
492,503,485,503,jump
488,506,487,510,jump
484,507,476,512,jump
481,500,470,501,jump
480,490,467,488,jump
479,480,462,478,jump
480,502,461,502,jump
479,507,473,511,jump
478,507,464,514,jump
478,499,462,502,jump
478,489,459,487,jump
477,480,458,478,jump
487,499,457,504,jump
486,505,478,507,jump
482,505,467,508,jump
481,497,462,498,jump
480,486,461,485,jump
478,478,457,476,jump
487,503,460,501,jump
487,508,482,506,jump
483,509,471,508,jump
481,501,465,497,jump
480,491,462,484,jump
479,482,460,475,jump
479,498,458,508,jump
483,504,479,511,jump
480,504,469,515,jump
480,496,462,502,jump
479,485,460,488,jump
478,477,459,478,jump
479,503,458,503,jump
482,508,474,513,jump
479,510,464,515,jump
478,502,461,504,jump
478,493,459,489,jump
477,483,458,478,jump
477,499,457,501,jump
488,507,487,506,jump
482,508,474,512,jump
480,502,467,502,jump
479,491,462,488,jump
479,483,460,478,jump
479,494,465,499,jump
482,508,482,510,jump
478,510,470,518,jump
478,502,463,506,jump
477,491,460,490,jump
477,482,458,479,jump
477,500,458,503,jump
479,507,470,512,jump
477,509,466,516,jump
477,503,461,504,jump
476,492,458,489,jump
476,483,456,478,jump
476,495,458,504,jump
484,512,489,511,jump
479,514,473,515,jump
478,509,465,505,jump
478,498,462,491,jump
477,488,460,479,jump
476,504,458,503,jump
477,510,457,512,jump
476,512,456,516,jump
477,506,455,503,jump
476,495,455,488,jump
476,487,455,477,jump
475,500,456,500,jump
480,508,481,510,jump
478,509,470,514,jump
478,503,464,504,jump
477,496,461,490,jump
477,488,458,480,jump
477,485,456,498,jump
482,504,476,506,jump
478,507,465,512,jump
477,500,461,504,jump
477,490,458,491,jump
477,481,457,479,jump
476,494,457,499,jump
484,505,498,508,jump
479,508,483,512,jump
478,503,474,503,jump
478,492,469,490,jump
477,483,467,478,jump
477,498,463,494,jump
489,507,499,507,jump
482,510,484,512,jump
481,507,475,503,jump
480,496,470,489,jump
479,486,466,478,jump
479,496,464,494,jump
478,512,462,507,jump
477,514,459,516,jump
477,507,458,507,jump
477,497,457,492,jump
477,488,456,480,jump
476,481,456,485,jump
498,508,499,505,jump
485,511,491,510,jump
482,510,480,510,jump
481,502,474,496,jump
480,492,469,482,jump
479,484,466,477,jump
479,505,497,503,jump
480,509,496,509,jump
478,509,489,508,jump
477,505,480,505,jump
477,495,474,489,jump
477,486,470,480,jump
505,500,467,496,jump
509,506,504,507,jump
504,507,496,509,jump
495,504,485,505,jump
491,493,478,489,jump
489,484,474,479,jump
491,502,496,499,jump
493,506,500,510,jump
488,507,488,513,jump
487,500,480,501,jump
486,490,474,486,jump
484,482,472,476,jump
498,506,489,500,jump
489,509,484,509,jump
485,510,474,511,jump
484,502,469,501,jump
483,492,467,487,jump
482,485,465,477,jump
504,501,504,497,jump
494,506,499,503,jump
488,506,487,505,jump
487,497,478,494,jump
485,488,474,482,jump
484,498,469,488,jump
507,507,508,501,jump
501,508,507,509,jump
494,509,495,509,jump
490,501,484,496,jump
488,492,479,484,jump
486,492,474,499,jump
496,505,495,505,jump
489,508,488,510,jump
487,507,479,510,jump
485,498,472,496,jump
484,488,469,483,jump
483,497,466,498,jump
495,505,499,503,jump
488,508,494,505,jump
485,507,483,506,jump
484,498,475,490,jump
483,488,471,478,jump
482,508,467,500,jump
491,515,489,511,jump
485,516,478,516,jump
484,510,471,506,jump
482,500,467,492,jump
482,492,465,480,jump
498,501,490,500,jump
494,505,504,509,jump
488,506,494,515,jump
485,499,482,507,jump
484,490,477,492,jump
483,483,472,481,jump
493,507,469,504,jump
486,509,480,509,jump
484,510,471,511,jump
482,500,468,503,jump
481,490,465,487,jump
480,497,462,497,jump
496,514,487,508,jump
485,516,478,516,jump
483,515,470,518,jump
482,504,464,503,jump
480,494,463,488,jump
480,499,461,495,jump
493,508,499,507,jump
487,510,496,510,jump
483,511,485,510,jump
482,501,476,497,jump
481,491,472,484,jump
480,500,468,501,jump
492,508,495,506,jump
486,511,484,510,jump
483,510,474,510,jump
482,500,469,496,jump
481,491,466,483,jump
480,497,462,496,jump
492,508,491,505,jump
485,511,477,513,jump
483,509,470,509,jump
481,500,465,494,jump
480,491,463,481,jump
480,504,462,501,jump
