sensor1,sensor2,sensor3,sensor4,labels
497,473,471,506,run
495,467,474,489,run
490,464,496,475,run
488,503,515,464,run
488,513,507,458,run
486,505,496,453,run
501,492,484,448,run
510,483,478,489,run
499,476,474,505,run
496,471,474,490,run
492,465,497,475,run
490,506,510,465,run
488,515,502,458,run
487,506,491,453,run
505,493,480,448,run
511,483,475,490,run
499,477,471,512,run
494,472,472,497,run
492,466,472,481,run
489,502,520,469,run
488,514,513,461,run
486,504,502,455,run
487,494,490,451,run
509,483,482,488,run
498,477,479,504,run
493,472,477,492,run
491,467,474,482,run
488,496,509,469,run
487,511,510,461,run
486,511,498,455,run
485,498,486,451,run
510,487,478,457,run
501,479,474,497,run
495,473,473,497,run
492,468,470,480,run
488,489,500,467,run
487,510,490,459,run
486,512,485,453,run
486,499,487,450,run
512,488,479,469,run
502,479,475,502,run
496,474,472,508,run
492,466,476,487,run
489,468,507,474,run
488,510,511,464,run
487,514,501,458,run
485,501,487,452,run
509,490,478,450,run
507,481,473,497,run
496,475,471,507,run
493,470,467,487,run
490,466,502,473,run
488,508,507,464,run
486,514,499,457,run
485,502,486,452,run
506,492,477,450,run
503,483,472,497,run
495,476,469,506,run
491,471,470,488,run
489,467,505,473,run
487,510,511,463,run
486,519,501,456,run
485,501,488,452,run
510,491,479,449,run
511,481,475,493,run
499,475,470,498,run
494,470,469,484,run
491,465,506,473,run
489,511,513,462,run
487,515,506,455,run
486,504,492,451,run
511,494,482,447,run
511,484,477,489,run
498,477,475,505,run
495,473,474,493,run
491,467,472,479,run
488,501,507,467,run
487,513,503,459,run
486,507,491,454,run
486,496,480,450,run
512,486,475,489,run
499,479,470,507,run
495,473,468,495,run
491,468,472,482,run
489,503,506,470,run
488,512,501,463,run
486,506,490,456,run
490,494,479,451,run
511,485,473,490,run
499,477,469,504,run
495,472,469,491,run
491,466,467,478,run
489,502,509,466,run
488,513,503,460,run
486,505,491,454,run
486,494,480,449,run
512,484,474,486,run
499,477,471,504,run
495,472,469,493,run
492,466,464,480,run
489,502,508,467,run
488,513,501,460,run
487,506,489,454,run
498,495,479,450,run
511,485,473,493,run
498,479,470,509,run
495,472,467,492,run
492,466,471,479,run
489,503,509,468,run
488,512,504,460,run
486,504,491,453,run
486,494,481,451,run
510,485,475,491,run
499,477,471,506,run
494,472,468,495,run
491,467,464,483,run
489,497,512,470,run
487,510,505,462,run
486,506,495,456,run
485,497,483,452,run
512,486,476,453,run
504,478,472,502,run
496,473,469,508,run
493,468,468,489,run
490,465,505,474,run
488,506,511,464,run
486,512,503,458,run
486,500,490,453,run
496,490,481,450,run
509,480,475,488,run
500,474,471,507,run
496,470,469,495,run
492,465,469,480,run
489,503,508,468,run
488,513,503,461,run
486,505,491,455,run
486,495,480,452,run
510,485,474,488,run
499,477,470,505,run
495,473,470,495,run
492,467,466,483,run
489,498,509,470,run
487,510,504,461,run
486,506,493,455,run
485,497,481,452,run
512,486,475,453,run
505,479,470,501,run
496,474,468,508,run
493,469,466,487,run
490,464,499,473,run
487,509,506,464,run
486,514,496,458,run
485,503,482,453,run
487,493,475,450,run
511,484,471,494,run
499,477,467,509,run
495,473,464,492,run
491,466,462,483,run
489,498,505,470,run
488,511,500,463,run
486,509,490,457,run
484,498,480,452,run
509,488,473,451,run
511,480,469,499,run
499,474,465,509,run
495,470,466,494,run
491,465,466,480,run
489,505,506,468,run
487,515,501,460,run
486,507,490,455,run
485,496,480,452,run
513,486,474,460,run
505,479,470,501,run
498,476,468,504,run
494,469,464,486,run
490,489,501,472,run
488,510,503,464,run
486,515,490,458,run
486,503,479,454,run
507,492,473,451,run
512,484,469,500,run
499,478,465,509,run
495,472,463,492,run
491,467,494,478,run
488,507,511,467,run
488,513,501,461,run
486,506,489,455,run
485,496,479,451,run
513,486,475,488,run
501,479,470,504,run
496,474,469,509,run
491,469,465,484,run
489,496,507,470,run
487,509,506,462,run
486,511,493,457,run
485,499,483,453,run
506,490,475,451,run
508,482,471,501,run
497,476,467,505,run
493,470,465,493,run
489,465,465,480,run
488,504,513,468,run
486,509,504,462,run
485,501,494,456,run
484,495,483,452,run
509,484,476,459,run
500,476,472,494,run
495,471,470,507,run
491,468,467,489,run
488,464,500,477,run
486,505,510,466,run
485,513,500,460,run
484,505,488,455,run
484,494,480,451,run
509,485,474,490,run
497,477,471,504,run
493,473,468,505,run
489,469,469,486,run
487,466,511,474,run
485,510,510,465,run
484,512,499,458,run
483,503,486,454,run
504,491,478,451,run
507,482,474,499,run
496,476,470,510,run
492,472,469,497,run
489,467,466,482,run
486,505,506,471,run
485,514,499,463,run
484,509,489,457,run
483,500,479,452,run
508,490,473,467,run
504,481,470,503,run
496,476,467,504,run
491,471,464,489,run
489,493,502,475,run
486,510,501,466,run
485,511,489,459,run
484,499,479,454,run
503,488,473,451,run
508,480,469,498,run
497,474,464,507,run
493,469,465,494,run
490,464,463,480,run
487,507,509,467,run
485,513,505,461,run
484,514,493,456,run
483,498,483,452,run
507,487,476,478,run
499,478,472,503,run
493,473,470,510,run
490,468,467,492,run
487,464,494,478,run
486,507,509,469,run
484,513,497,462,run
483,507,487,456,run
482,496,478,453,run
511,487,472,494,run
501,479,469,502,run
495,474,466,506,run
491,468,464,487,run
489,467,503,474,run
486,513,509,464,run
485,518,497,458,run
484,504,486,454,run
483,494,478,451,run
512,484,473,485,run
501,477,469,503,run
495,472,467,507,run
491,467,464,486,run
488,463,502,474,run
486,508,511,465,run
485,516,501,461,run
484,504,488,454,run
485,494,480,451,run
507,484,475,494,run
496,477,471,504,run
491,473,469,502,run
489,467,465,485,run
486,493,509,472,run
485,509,502,463,run
484,512,493,458,run
482,500,482,453,run
488,490,475,451,run
506,481,470,497,run
