sensor1,sensor2,sensor3,sensor4,labels
485,424,444,508,upstairs
486,419,443,513,upstairs
485,425,442,515,upstairs
485,422,442,503,upstairs
485,415,441,491,upstairs
485,411,440,483,upstairs
485,412,440,478,upstairs
484,414,438,474,upstairs
485,429,438,472,upstairs
484,499,439,470,upstairs
484,501,438,476,upstairs
484,476,438,474,upstairs
483,458,438,472,upstairs
483,445,438,472,upstairs
483,437,437,474,upstairs
482,431,437,474,upstairs
482,426,438,504,upstairs
482,456,438,507,upstairs
482,456,438,494,upstairs
482,439,437,482,upstairs
482,425,437,476,upstairs
481,419,437,471,upstairs
481,416,437,470,upstairs
481,424,438,469,upstairs
480,483,438,467,upstairs
481,497,438,467,upstairs
481,471,438,467,upstairs
480,452,438,467,upstairs
480,439,439,466,upstairs
480,431,439,466,upstairs
480,425,438,467,upstairs
479,421,439,467,upstairs
480,417,439,473,upstairs
479,415,439,509,upstairs
480,412,440,515,upstairs
479,410,440,504,upstairs
480,408,440,491,upstairs
479,406,441,483,upstairs
479,405,441,477,upstairs
479,404,441,473,upstairs
479,402,441,471,upstairs
479,400,442,469,upstairs
479,403,442,474,upstairs
479,445,443,476,upstairs
479,424,443,470,upstairs
479,411,444,468,upstairs
479,405,444,468,upstairs
479,401,444,470,upstairs
479,399,444,503,upstairs
479,397,445,512,upstairs
479,403,445,514,upstairs
479,450,446,512,upstairs
479,435,446,498,upstairs
479,420,447,487,upstairs
479,416,447,480,upstairs
479,443,447,475,upstairs
479,489,448,471,upstairs
479,490,449,484,upstairs
479,491,449,487,upstairs
479,466,450,482,upstairs
479,450,450,477,upstairs
479,441,450,481,upstairs
479,432,451,486,upstairs
479,427,452,488,upstairs
479,423,452,496,upstairs
479,446,453,500,upstairs
479,459,453,488,upstairs
479,452,453,476,upstairs
478,454,454,470,upstairs
479,475,454,466,upstairs
479,486,455,464,upstairs
479,489,455,473,upstairs
479,490,457,511,upstairs
479,476,457,511,upstairs
479,459,457,512,upstairs
479,447,457,514,upstairs
479,440,458,513,upstairs
479,435,459,514,upstairs
479,432,459,515,upstairs
479,427,460,516,upstairs
479,424,460,508,upstairs
479,419,461,500,upstairs
479,418,461,495,upstairs
479,420,462,490,upstairs
479,425,462,486,upstairs
479,434,462,482,upstairs
506,440,463,478,upstairs
511,484,463,476,upstairs
513,476,463,476,upstairs
512,454,464,488,upstairs
511,440,464,493,upstairs
511,430,464,497,upstairs
510,424,465,499,upstairs
508,420,502,501,upstairs
502,418,519,502,upstairs
500,415,521,498,upstairs
498,413,520,489,upstairs
496,410,517,482,upstairs
494,408,517,478,upstairs
493,407,515,474,upstairs
492,405,514,473,upstairs
491,404,512,471,upstairs
510,434,503,471,upstairs
512,489,495,473,upstairs
512,463,484,487,upstairs
511,445,476,494,upstairs
510,434,469,497,upstairs
509,427,464,499,upstairs
506,420,485,500,upstairs
502,419,507,504,upstairs
499,415,511,493,upstairs
497,410,509,485,upstairs
496,407,508,479,upstairs
494,406,509,475,upstairs
492,403,508,472,upstairs
491,403,510,470,upstairs
499,401,507,469,upstairs
509,452,496,469,upstairs
512,487,486,473,upstairs
512,462,476,484,upstairs
512,445,468,486,upstairs
513,434,463,486,upstairs
513,426,459,485,upstairs
510,420,491,494,upstairs
504,418,504,501,upstairs
502,413,509,489,upstairs
500,409,508,482,upstairs
497,405,507,476,upstairs
495,402,505,472,upstairs
495,412,506,469,upstairs
503,460,496,468,upstairs
511,496,487,470,upstairs
512,474,476,468,upstairs
513,455,468,467,upstairs
512,442,462,466,upstairs
510,433,457,487,upstairs
505,427,454,505,upstairs
501,422,452,510,upstairs
499,420,450,509,upstairs
497,414,448,491,upstairs
495,407,446,482,upstairs
493,406,445,476,upstairs
492,404,444,472,upstairs
491,445,443,471,upstairs
490,487,442,468,upstairs
488,489,442,481,upstairs
488,476,441,483,upstairs
487,461,441,479,upstairs
486,451,441,494,upstairs
486,444,440,503,upstairs
485,439,440,506,upstairs
485,436,439,508,upstairs
484,434,439,496,upstairs
483,427,438,485,upstairs
483,425,438,478,upstairs
482,437,438,474,upstairs
483,480,438,471,upstairs
482,492,437,469,upstairs
482,494,438,487,upstairs
481,472,437,480,upstairs
481,457,438,473,upstairs
481,447,437,468,upstairs
481,441,437,466,upstairs
481,436,437,494,upstairs
480,432,437,505,upstairs
480,430,438,503,upstairs
480,422,438,488,upstairs
479,418,437,478,upstairs
479,416,438,472,upstairs
479,413,438,469,upstairs
479,416,438,468,upstairs
479,471,439,466,upstairs
479,477,439,471,upstairs
479,470,439,476,upstairs
479,457,440,473,upstairs
479,447,440,473,upstairs
478,440,441,483,upstairs
478,436,440,492,upstairs
478,433,441,499,upstairs
479,432,441,501,upstairs
478,431,442,486,upstairs
478,423,442,477,upstairs
478,422,442,473,upstairs
478,420,443,471,upstairs
478,422,443,469,upstairs
478,453,444,469,upstairs
478,486,444,468,upstairs
478,477,445,469,upstairs
477,458,445,469,upstairs
478,445,446,468,upstairs
478,437,446,469,upstairs
477,431,446,469,upstairs
478,426,447,468,upstairs
477,423,471,469,upstairs
477,421,505,470,upstairs
477,418,508,510,upstairs
478,416,509,501,upstairs
478,413,508,491,upstairs
478,413,508,485,upstairs
478,411,507,480,upstairs
478,412,507,477,upstairs
501,423,504,476,upstairs
508,466,494,476,upstairs
510,485,484,475,upstairs
509,462,475,482,upstairs
510,448,468,502,upstairs
505,438,462,507,upstairs
501,432,458,513,upstairs
497,427,457,512,upstairs
495,425,499,514,upstairs
493,421,504,509,upstairs
491,415,504,498,upstairs
489,415,505,491,upstairs
488,410,504,486,upstairs
487,412,505,482,upstairs
486,412,503,478,upstairs
485,416,502,476,upstairs
504,433,496,475,upstairs
509,487,487,473,upstairs
511,478,476,474,upstairs
511,461,467,491,upstairs
512,449,462,499,upstairs
509,440,457,500,upstairs
509,433,454,502,upstairs
509,427,451,502,upstairs
508,424,481,503,upstairs
502,421,499,506,upstairs
500,419,504,504,upstairs
498,414,503,491,upstairs
496,411,502,485,upstairs
494,410,502,480,upstairs
493,408,501,477,upstairs
491,407,500,475,upstairs
490,406,499,474,upstairs
488,417,497,473,upstairs
487,487,485,483,upstairs
487,475,476,490,upstairs
486,459,467,483,upstairs
484,445,461,488,upstairs
484,435,456,498,upstairs
484,429,452,507,upstairs
483,424,450,512,upstairs
482,434,448,512,upstairs
482,442,446,496,upstairs
481,442,444,486,upstairs
481,446,444,481,upstairs
481,482,443,478,upstairs
481,485,443,474,upstairs
480,486,442,496,upstairs
480,468,442,494,upstairs
480,454,440,495,upstairs
479,446,439,502,upstairs
479,439,439,504,upstairs
479,433,438,508,upstairs
479,431,439,510,upstairs
479,446,437,502,upstairs
478,440,437,491,upstairs
479,436,437,483,upstairs
478,450,436,479,upstairs
479,480,437,477,upstairs
478,483,437,475,upstairs
478,484,436,495,upstairs
478,471,436,497,upstairs
477,457,437,496,upstairs
478,446,436,499,upstairs
478,440,437,501,upstairs
478,433,436,503,upstairs
477,429,436,507,upstairs
478,428,436,508,upstairs
478,425,436,496,upstairs
477,418,437,487,upstairs
477,416,437,481,upstairs
478,419,437,477,upstairs
477,438,437,474,upstairs
477,485,438,473,upstairs
477,488,438,495,upstairs
477,463,437,492,upstairs
477,448,438,491,upstairs
476,439,439,495,upstairs
477,431,439,498,upstairs
476,426,439,501,upstairs
477,422,439,505,upstairs
476,423,439,506,upstairs
476,414,440,491,upstairs
477,411,440,483,upstairs
477,408,440,478,upstairs
477,409,441,475,upstairs
477,421,441,473,upstairs
477,474,442,471,upstairs
477,490,442,477,upstairs
476,468,442,474,upstairs
476,451,442,471,upstairs
477,440,443,470,upstairs
476,432,443,470,upstairs
477,426,443,471,upstairs
476,421,457,489,upstairs
